iter	Passed	Remaining
0	3	319
1	5	284
2	8	280
3	11	275
4	13	265
5	16	265
6	20	271
7	23	265
8	25	262
9	29	263
10	32	260
11	35	259
12	38	258
13	41	255
14	44	254
15	48	252
16	50	248
17	53	245
18	57	243
19	60	240
20	63	237
21	66	234
22	68	230
23	72	230
24	75	227
25	78	224
26	81	221
27	84	218
28	88	216
29	91	213
30	94	210
31	98	208
32	101	206
33	104	203
34	108	200
35	111	198
36	114	194
37	117	191
38	120	187
39	123	184
40	126	181
41	128	178
42	131	174
43	133	170
44	137	167
45	140	164
46	143	161
47	145	158
48	148	154
49	151	151
50	154	148
51	157	145
52	160	142
53	164	139
54	166	136
55	170	133
56	172	130
57	175	127
58	179	124
59	182	121
60	185	118
61	189	115
62	192	113
63	196	110
64	200	107
65	202	104
66	204	100
67	206	97
68	207	93
69	209	89
70	211	86
71	213	83
72	215	79
73	216	76
74	218	72
75	219	69
76	221	66
77	223	62
78	224	59
79	225	56
80	227	53
81	229	50
82	231	47
83	232	44
84	234	41
85	236	38
86	237	35
87	239	32
88	240	29
89	242	26
90	243	24
91	245	21
92	247	18
93	248	15
94	250	13
95	251	10
96	253	7
97	255	5
98	256	2
99	258	0
